DATE,IPB50001N
2000-01-01,90.8766
2000-02-01,91.6449
2000-03-01,93.2931
2000-04-01,91.9988
2000-05-01,92.3381
2000-06-01,95.3238
2000-07-01,90.7873
2000-08-01,94.2896
2000-09-01,94.7706
2000-10-01,93.9167
2000-11-01,92.8379
2000-12-01,92.3881
2001-01-01,91.2087
2001-02-01,91.3082
2001-03-01,92.2517
2001-04-01,89.1366
2001-05-01,89.8853
2001-06-01,92.0433
2001-07-01,87.6896
2001-08-01,91.1558
2001-09-01,90.3751
2001-10-01,89.3006
2001-11-01,87.7488
2001-12-01,87.2972
2002-01-01,87.7256
2002-02-01,88.3615
2002-03-01,89.8348
2002-04-01,88.9430
2002-05-01,89.4292
2002-06-01,93.0921
2002-07-01,88.5389
2002-08-01,92.6427
2002-09-01,92.5459
2002-10-01,91.3936
2002-11-01,90.4247
2002-12-01,89.5946
2003-01-01,90.3151
2003-02-01,91.2563
2003-03-01,91.9420
2003-04-01,89.3576
2003-05-01,89.9314
2003-06-01,92.7535
2003-07-01,88.7128
2003-08-01,92.9894
2003-09-01,93.2783
2003-10-01,92.4052
2003-11-01,92.0058
2003-12-01,91.4909
2004-01-01,91.3198
2004-02-01,93.0487
2004-03-01,93.3957
2004-04-01,91.6866
2004-05-01,93.1014
2004-06-01,95.2775
2004-07-01,92.2066
2004-08-01,95.7345
2004-09-01,95.1797
2004-10-01,95.3865
2004-11-01,94.4245
2004-12-01,94.7801
2005-01-01,95.0130
2005-02-01,96.1790
2005-03-01,96.6730
2005-04-01,95.9406
2005-05-01,96.2247
2005-06-01,99.5973
2005-07-01,95.8626
2005-08-01,99.3920
2005-09-01,97.0401
2005-10-01,97.1299
2005-11-01,96.8565
2005-12-01,97.3452
2006-01-01,96.6955
2006-02-01,97.4420
2006-03-01,98.7720
2006-04-01,96.8632
2006-05-01,98.2344
2006-06-01,101.6510
2006-07-01,98.5740
2006-08-01,101.9858
2006-09-01,101.0364
2006-10-01,99.7826
2006-11-01,98.5834
2006-12-01,99.5862
2007-01-01,98.4655
2007-02-01,99.9903
2007-03-01,101.1429
2007-04-01,100.2134
2007-05-01,101.1887
2007-06-01,104.2269
2007-07-01,100.9654
2007-08-01,104.2991
2007-09-01,103.8049
2007-10-01,102.1332
2007-11-01,101.6569
2007-12-01,101.7234
2008-01-01,101.0628
2008-02-01,100.8650
2008-03-01,101.1899
2008-04-01,99.7907
2008-05-01,99.4922
2008-06-01,102.2245
2008-07-01,99.4540
2008-08-01,100.1684
2008-09-01,95.1960
2008-10-01,94.7766
2008-11-01,92.7579
2008-12-01,90.6880
2009-01-01,88.1134
2009-02-01,87.3597
2009-03-01,86.4230
2009-04-01,84.0646
2009-05-01,84.2553
2009-06-01,86.4655
2009-07-01,85.8386
2009-08-01,88.8846
2009-09-01,88.1652
2009-10-01,87.7133
2009-11-01,87.3673
2009-12-01,88.1435
2010-01-01,89.0241
2010-02-01,89.0724
2010-03-01,90.1973
2010-04-01,89.1883
2010-05-01,90.9606
2010-06-01,93.7697
2010-07-01,92.1662
2010-08-01,94.7609
2010-09-01,93.7125
2010-10-01,92.7039
2010-11-01,91.7796
2010-12-01,93.2818
2011-01-01,93.1585
2011-02-01,92.3304
2011-03-01,93.9866
2011-04-01,92.1268
2011-05-01,92.8633
2011-06-01,95.6994
2011-07-01,94.6536
2011-08-01,97.0446
2011-09-01,96.0330
2011-10-01,95.6803
2011-11-01,95.0619
2011-12-01,96.0187
2012-01-01,96.3607
2012-02-01,96.5856
2012-03-01,96.6740
2012-04-01,95.8250
2012-05-01,96.5713
2012-06-01,99.0388
2012-07-01,97.5717
2012-08-01,99.2131
2012-09-01,98.2441
2012-10-01,97.3340
2012-11-01,97.3249
2012-12-01,97.8174
2013-01-01,97.8863
2013-02-01,98.1761
2013-03-01,98.8005
2013-04-01,97.8637
2013-05-01,98.0770
2013-06-01,100.7144
2013-07-01,98.8619
2013-08-01,101.5202
2013-09-01,100.9791
2013-10-01,99.8035
2013-11-01,99.5615
2013-12-01,99.8351
2014-01-01,99.7945
2014-02-01,100.4165
2014-03-01,101.8537
2014-04-01,100.4041
2014-05-01,101.2595
2014-06-01,104.1221
2014-07-01,102.3826
2014-08-01,104.8066
2014-09-01,103.9656
2014-10-01,102.8765
2014-11-01,103.1159
2014-12-01,103.0036
2015-01-01,102.4278
2015-02-01,102.0216
2015-03-01,101.9651
2015-04-01,99.6699
2015-05-01,99.8701
2015-06-01,102.2653
2015-07-01,101.0660
2015-08-01,103.2965
2015-09-01,101.0706
2015-10-01,100.0789
2015-11-01,98.7904
2015-12-01,98.1465
2016-01-01,99.1050
2016-02-01,98.5402
2016-03-01,97.6237
